ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T05:07:12.069555,esp32-sound,66,16,6294783
2025-10-30T05:07:14.410252,esp32-sound,66,16,6297343
2025-10-30T05:07:17.044157,esp32-sound,66,16,6299701
2025-10-30T05:07:19.423306,esp32-sound,66,16,6302308
2025-10-30T05:07:21.897697,esp32-sound,65,15,6304715
2025-10-30T05:07:24.460853,esp32-sound,66,16,6307174
2025-10-30T05:07:26.813181,esp32-sound,66,16,6309734
2025-10-30T05:07:29.372311,esp32-sound,67,17,6312200
2025-10-30T05:07:31.838635,esp32-sound,66,16,6314651
2025-10-30T05:07:34.389352,esp32-sound,66,16,6317117
2025-10-30T05:07:36.936300,esp32-sound,66,16,6319667
2025-10-30T05:07:39.401807,esp32-sound,66,16,6322227
2025-10-30T05:07:42.056250,esp32-sound,66,16,6324684
2025-10-30T05:07:44.411837,esp32-sound,66,16,6327345
2025-10-30T05:07:46.681778,esp32-sound,66,16,6329634
2025-10-30T05:07:49.341552,esp32-sound,66,16,6331955
2025-10-30T05:07:51.801383,esp32-sound,65,15,6334615
2025-10-30T05:07:54.462475,esp32-sound,66,16,6337276
2025-10-30T05:07:56.936508,esp32-sound,66,16,6339738
2025-10-30T05:07:59.253332,esp32-sound,66,16,6342195
2025-10-30T05:08:01.630761,esp32-sound,66,16,6344553
2025-10-30T05:08:03.879797,esp32-sound,66,16,6346840
2025-10-30T05:08:08.703584,esp32-sound,65,15,6349158
2025-10-30T05:08:11.468777,esp32-sound,66,16,6354078
2025-10-30T05:08:14.017351,esp32-sound,66,16,6356737
2025-10-30T05:08:16.995696,esp32-sound,65,15,6359297
2025-10-30T05:08:19.681961,esp32-sound,66,16,6362369
2025-10-30T05:08:22.335830,esp32-sound,66,16,6365136
2025-10-30T05:08:24.651249,esp32-sound,66,16,6367622
2025-10-30T05:08:27.236919,esp32-sound,67,17,6369989
2025-10-30T05:08:29.742026,esp32-sound,66,16,6372507
2025-10-30T05:08:32.587262,esp32-sound,67,17,6375165
2025-10-30T05:08:35.117586,esp32-sound,66,16,6377832
2025-10-30T05:08:37.697239,esp32-sound,66,16,6380392
2025-10-30T05:08:41.067163,esp32-sound,66,16,6383259
2025-10-30T05:08:43.667287,esp32-sound,65,15,6386328
2025-10-30T05:08:46.894172,esp32-sound,66,16,6389301
2025-10-30T05:08:49.657674,esp32-sound,66,16,6392371
2025-10-30T05:08:52.321857,esp32-sound,66,16,6395035
